,State,Abbreviation,Number,Summary,Bill Type,Date,Status,Erin Reed's State Risk,URL,Sponsors,Bill Title,Bill Intent
1,Alaska,AK,HB27,Designate Sex For School-sponsored Sports,Trans Sports Ban,1/19/2023,REFERRED TO EDUCATION,Moderate,https://legiscan.com/AK/bill/HB27/2023,Thomas McKay,"An Act relating to school athletics, recreation, athletic teams, and sports.",WE WILL SHUT YOU OUT OF PUBLIC LIFE
2,Alaska,AK,SB96,Sex/reproduction Education; Schools,Don't Say Gay/Forced Outing,3/8/2023,REFERRED TO JUDICIARY,Moderate,https://legiscan.com/AK/bill/SB96/2023,Rules,"An Act relating to parental rights in a child&#39;s education; relating to access to school records; relating to sex education, human reproduction education, and human sexuality education; relating to school disciplinary and safety programs; and providing for an effective date.",WE WILL EMPOWER YOUR ENEMIES
3,Alaska,AK,HB105,Sex/reproduction Education; Schools,Don't Say Gay/Forced Outing,3/8/2023,REFERRED TO EDUCATION,Moderate,https://legiscan.com/AK/bill/HB105/2023,Rules,"An Act relating to parental rights in a child&#39;s education; relating to access to school records; relating to sex education, human reproduction education, and human sexuality education; relating to school disciplinary and safety programs; and providing for an effective date.",WE WILL EMPOWER YOUR ENEMIES
4,Arizona,AZ,SB1028,Adult cabaret performances; prohibited locations,Drag Ban,3/22/2023,House read second time,Low,https://legiscan.com/AZ/bill/SB1028/2023,Anthony Kern,Adult cabaret performances; prohibited locations,YOUR PRESENCE IS A PERVERSION
5,Arizona,AZ,SB1030,Sexually explicit performances; regulation,Drag Ban,3/21/2023,House read second time,Low,https://legiscan.com/AZ/bill/SB1030/2023,Anthony Kern,Sexually explicit performances; regulation,YOUR PRESENCE IS A PERVERSION
6,Arizona,AZ,SB1694,Public monies; ideology training; prohibition,DEI Prohibitation,3/22/2023,House read second time,Low,https://legiscan.com/AZ/bill/SB1694/2023,"Jake Hoffman, Sonny Borrelli, Anthony Kern, Justine Wadsack, Justin Heap, Rachel Jones, Cory McGarr",Public monies; ideology training; prohibition,WE WILL SILENCE YOUR ALLIES
7,Arizona,AZ,SB1700,Schools; school libraries; books; prohibition,Book Ban,3/22/2023,House read second time,Low,https://legiscan.com/AZ/bill/SB1700/2023,"Justine Wadsack, Rachel Jones, Cory McGarr",Schools; school libraries; books; prohibition,YOU DO NOT EXIST
8,Arizona,AZ,HB2312,Women's shelters; male employees; liability,Bans trans people from working at shelters,3/7/2023,Senate read second time,Low,https://legiscan.com/AZ/bill/HB2312/2023,"Rachel Jones, Lupe Diaz, Liz Harris, Cory McGarr, Justine Wadsack",Women's shelters; male employees; liability,WE WILL CIRCUMSCRIBE THE SPACES YOU WALK IN
9,Arizona,AZ,SB1001,Pronouns; biological sex; school policies,Forced Outing by Schools,3/8/2023,House read second time,Low,https://legiscan.com/AZ/bill/SB1001/2023,John Kavanagh,Pronouns; biological sex; school policies,WE WILL DENY YOU YOUR NAME
10,Arizona,AZ,SB1026,State monies; drag shows; minors,Drag Ban,3/22/2023,"House GOV Committee action: Do Pass Amended, voting: (5-4-0-0-0-0)",Low,https://legiscan.com/AZ/bill/SB1026/2023,John Kavanagh,State monies; drag shows; minors,YOUR PRESENCE IS A PERVERSION
