,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
0,Alaska,AK,HB27,https://legiscan.com/AK/bill/HB27/2023,1646385,2626455.0,
1,Arizona,AZ,HB2312,https://legiscan.com/AZ/bill/HB2312/2023,1657170,2638623.0,
2,Arizona,AZ,HB2711,https://legiscan.com/AZ/bill/HB2711/2023,1696919,2684031.0,
3,Arizona,AZ,SB1001,https://legiscan.com/AZ/bill/SB1001/2023,1639597,2619652.0,
4,Arizona,AZ,SB1026,https://legiscan.com/AZ/bill/SB1026/2023,1644653,2624872.0,
5,Arizona,AZ,SB1028,https://legiscan.com/AZ/bill/SB1028/2023,1645174,2625288.0,
6,Arizona,AZ,SB1030,https://legiscan.com/AZ/bill/SB1030/2023,1644875,2625052.0,
7,Arizona,AZ,SB1040,https://legiscan.com/AZ/bill/SB1040/2023,1654000,2634300.0,
8,Arizona,AZ,SB1694,https://legiscan.com/AZ/bill/SB1694/2023,1686351,2670242.0,
9,Arizona,AZ,SB1698,https://legiscan.com/AZ/bill/SB1698/2023,1686310,2670201.0,
10,Arizona,AZ,SB1702,https://legiscan.com/AZ/bill/SB1702/2023,1686385,2670276.0,
11,Arkansas,AR,HB1156,https://legiscan.com/AR/bill/HB1156/2023,1662211,2644026.0,
12,Arkansas,AR,SB125,https://legiscan.com/AR/bill/SB125/2023,1680399,2663135.0,
13,Arkansas,AR,SB199,https://legiscan.com/AR/bill/SB199/2023,1696352,2683358.0,
14,Arkansas,AR,SB270,https://legiscan.com/AR/bill/SB270/2023,1708046,2699482.0,
15,Arkansas,AR,SB43,https://legiscan.com/AR/bill/SB43/2023,1646838,2626885.0,
16,Arkansas,AR,HB1468,https://legiscan.com/AR/bill/HB1468/2023,1715730,2709788.0,
17,Arkansas,AR,SB294,https://legiscan.com/AR/bill/SB294/2023,1715618,2709692.0,
18,Colorado,CO,HB1092,https://legiscan.com/CO/bill/HB1092/2023,1671149,2653125.0,
19,Colorado,CO,HB1098,https://legiscan.com/CO/bill/HB1098/2023,1676599,2659335.0,
20,Connecticut,CT,HB06213,https://legiscan.com/CT/bill/HB06213/2023,1667079,2652727.0,
21,Connecticut,CT,HB06331,https://legiscan.com/CT/bill/HB06331/2023,1670808,2652620.0,
22,Connecticut,CT,SB00467,https://legiscan.com/CT/bill/SB00467/2023,1664197,2645954.0,
23,Connecticut,CT,SB00468,https://legiscan.com/CT/bill/SB00468/2023,1664399,2646156.0,
