,State,Abbreviation,Number,URL,Bill ID,Sponsors
0,Alaska,AK,HB27,https://legiscan.com/AK/bill/HB27/2023,1646385,['Thomas McKay']
1,Arizona,AZ,HB2312,https://legiscan.com/AZ/bill/HB2312/2023,1657170,"['Rachel Jones', 'Lupe Diaz', 'Liz Harris', 'Cory McGarr', 'Justine Wadsack']"
2,Arizona,AZ,HB2711,https://legiscan.com/AZ/bill/HB2711/2023,1696919,"['Alexander Kolodin', 'Joseph Chaplik']"
3,Arizona,AZ,SB1001,https://legiscan.com/AZ/bill/SB1001/2023,1639597,['John Kavanagh']
4,Arizona,AZ,SB1026,https://legiscan.com/AZ/bill/SB1026/2023,1644653,['John Kavanagh']
5,Arizona,AZ,SB1028,https://legiscan.com/AZ/bill/SB1028/2023,1645174,['Anthony Kern']
6,Arizona,AZ,SB1030,https://legiscan.com/AZ/bill/SB1030/2023,1644875,['Anthony Kern']
7,Arizona,AZ,SB1040,https://legiscan.com/AZ/bill/SB1040/2023,1654000,['John Kavanagh']
8,Arizona,AZ,SB1694,https://legiscan.com/AZ/bill/SB1694/2023,1686351,"['Jake Hoffman', 'Sonny Borrelli', 'Anthony Kern', 'Justine Wadsack', 'Justin Heap', 'Rachel Jones', 'Cory McGarr']"
9,Arizona,AZ,SB1698,https://legiscan.com/AZ/bill/SB1698/2023,1686310,"['Justine Wadsack', 'Rachel Jones', 'Cory McGarr']"
10,Arizona,AZ,SB1702,https://legiscan.com/AZ/bill/SB1702/2023,1686385,"['Justine Wadsack', 'Rachel Jones', 'Cory McGarr']"
11,Arkansas,AR,HB1156,https://legiscan.com/AR/bill/HB1156/2023,1662211,"['Mary Bentley', 'Dan Sullivan', 'Karilyn Brown', 'Cindy Crawford', 'DeAnna Hodges', 'Jack Ladyman', 'Wayne Long', 'Robin Lundstrum', 'Mindy McAlindon', 'Josh Miller', 'Ryan Rose', 'Dwight Tosh', 'Sonia Eubanks Barker']"
12,Arkansas,AR,SB125,https://legiscan.com/AR/bill/SB125/2023,1680399,"['Dan Sullivan', 'Rick Beck']"
13,Arkansas,AR,SB199,https://legiscan.com/AR/bill/SB199/2023,1696352,"['Gary Stubblefield', 'Mary Bentley']"
14,Arkansas,AR,SB270,https://legiscan.com/AR/bill/SB270/2023,1708046,"['John Payton', 'Cindy Crawford', 'Ben Gilmore', 'Missy Irvin', 'Blake Johnson', 'Mark Johnson', 'Matt Stone', 'David Wallace']"
15,Arkansas,AR,SB43,https://legiscan.com/AR/bill/SB43/2023,1646838,"['Gary Stubblefield', 'Mary Bentley', 'Sonia Eubanks Barker', 'Cameron Cooper', 'Cindy Crawford', 'Delia Haak', 'DeAnna Hodges', 'Jack Ladyman', 'Wayne Long', 'Robin Lundstrum', 'Mindy McAlindon', 'Scott Richardson', 'Ryan Rose', 'Johnny Rye', 'Dwight Tosh', 'Joshua Bryant', 'Blake Johnson', 'Kim Hammer', 'Terry Rice', 'Scott Flippo', 'Clint Penzo', 'Ben Gilmore', 'Matt Stone', 'Matt McKee', 'Alan Clark', 'Bart Hester', 'Tyler Dees', 'Dan Sullivan', 'Ronald Caldwell', 'Ricky Hill']"
16,Arkansas,AR,HB1468,https://legiscan.com/AR/bill/HB1468/2023,1715730,['Wayne Long']
