State,Number,Summary,Bill Type,Date,Status,Erin Reed's State Risk,Notes,URL,Sponsors,Calendar,History,Manual Status,Change Hash,,,,,,,,,,,,,,,,,,,,,,,
Alaska,HB27,Designate Sex For School-sponsored Sports,Trans Sports Ban,1/19/2023,REFERRED TO EDUCATION,Moderate,,https://legiscan.com/AK/bill/HB27/2023,Thomas McKay,,"H 2023-01-19 PREFILE RELEASED 1/9/23, H 2023-01-19 READ THE FIRST TIME - REFERRALS, H 2023-01-19 EDC, HSS, H 2023-01-19 REFERRED TO EDUCATION",,d3f1f1326343d7e96d129e70fc3ba09c,,,,,,,,,,,,,,,,,,,,,,,
Arizona,HB2312,Women's shelters; male employees; liability,Bans trans people from working at shelters,2/21/2023,House minority caucus: Do pass,Low,,https://legiscan.com/AZ/bill/HB2312/2023,"Rachel Jones, Lupe Diaz, Liz Harris, Cory McGarr, Justine Wadsack",Hearing 2023-02-21 12:30 HHR 4,"H 2023-01-17 Introduced in House and read first time, H 2023-01-17 Assigned to House HHS Committee, H 2023-01-17 Assigned to House RULES Committee, H 2023-01-18 House read second time, H 2023-01-23 House HHS Committee action: Do Pass, voting: (5-4-0-0-0-0), H 2023-02-21 House RULES Committee action: constitutional and in proper form, voting: (5-3-0-0-0-0), H 2023-02-21 House consent calendar, H 2023-02-21 House majority caucus: Do pass, H 2023-02-21 House minority caucus: Do pass",Pass Committee,b384154d6055e7754acb897180edd52d,,,,,,,,,,,,,,,,,,,,,,,
Arizona,HB2711,Student information; parental notification; requirements,Forced Outing by Schools,2/8/2023,House read second time,Low,,https://legiscan.com/AZ/bill/HB2711/2023,"Alexander Kolodin, Joseph Chaplik",,"H 2023-02-07 Introduced in House and read first time, H 2023-02-07 Assigned to House ED Committee, H 2023-02-07 Assigned to House RULES Committee, H 2023-02-08 House read second time",,052dda229f95e8b8c06003e9917e543a,,,,,,,,,,,,,,,,,,,,,,,
Arizona,SB1001,Pronouns; biological sex; school policies,Forced Outing by Schools,1/18/2023,"Senate ED Committee action: Do Pass Amended, voting: (4-3-0-0)",Low,Pronoun Ban. It's requires parental permission to refer to a student by a pronound other than the one assigned at birth. ,https://legiscan.com/AZ/bill/SB1001/2023,John Kavanagh,,"S 2022-12-20 Prefile, S 2023-01-10 Introduced in Senate and read first time, S 2023-01-10 Assigned to Senate ED Committee, S 2023-01-10 Assigned to Senate RULES Committee, S 2023-01-11 Senate read second time, S 2023-01-18 Senate ED Committee action: Do Pass Amended, voting: (4-3-0-0)",Pass Committee,fdf14c50bd731eba0927f2610d2b728e,,,,,,,,,,,,,,,,,,,,,,,
Arizona,SB1026,State monies; drag shows; minors,Drag Ban,2/8/2023,"Senate GOV Committee action: Do Pass Amended, voting: (5-3-0-0)",Low,Bans use of state money at places where drag shows for minors occur. ,https://legiscan.com/AZ/bill/SB1026/2023,John Kavanagh,Hearing 2023-02-08 09:30 SHR 2,"S 2023-01-06 Prefile, S 2023-01-17 Introduced in Senate and read first time, S 2023-01-17 Assigned to Senate GOV Committee, S 2023-01-17 Assigned to Senate RULES Committee, S 2023-01-18 Senate read second time, S 2023-02-08 Senate GOV Committee action: Do Pass Amended, voting: (5-3-0-0)",Pass Committee,a62421479d7c05c630eddab77ad4b813,,,,,,,,,,,,,,,,,,,,,,,
Arizona,SB1028,Adult cabaret performances; prohibited locations,Drag Ban,2/2/2023,"Senate JUD Committee action: Do Pass Amended, voting: (4-3-0-0)",Low,Bans trans performers from public. ,https://legiscan.com/AZ/bill/SB1028/2023,Anthony Kern,Hearing 2023-02-02 09:00 SHR 1,"S 2023-01-06 Prefile, S 2023-01-10 Introduced in Senate and read first time, S 2023-01-10 Assigned to Senate JUD Committee, S 2023-01-10 Assigned to Senate RULES Committee, S 2023-01-11 Senate read second time, S 2023-02-02 Senate JUD Committee action: Do Pass Amended, voting: (4-3-0-0)",Pass Committee,6be8d1eee779434bc12f8bd72d69ab69,,,,,,,,,,,,,,,,,,,,,,,
Arizona,SB1030,Drag performers; drag shows; regulation,Drag Ban,2/16/2023,"Senate GOV Committee action: Do Pass Amended, voting: (5-3-0-0)",Low,Requires permit for sexual explicit business if there is a performer of any kind in drag or if the performer is trans. This would ban trans comedy shows for example,https://legiscan.com/AZ/bill/SB1030/2023,Anthony Kern,"Hearing 2023-02-08 09:30 SHR 2, Hearing 2023-02-15 08:00 SHR 2, Hearing 2023-02-16 14:00 SHR 2","S 2023-01-06 Prefile, S 2023-01-10 Introduced in Senate and read first time, S 2023-01-10 Assigned to Senate GOV Committee, S 2023-01-10 Assigned to Senate RULES Committee, S 2023-01-11 Senate read second time, S 2023-02-16 Senate GOV Committee action: Do Pass Amended, voting: (5-3-0-0)",Pass Committee,20e64369ec7f033465c19c24fbe6ea98,,,,,,,,,,,,,,,,,,,,,,,
Arizona,SB1040,Public schools; restrooms; reasonable accommodations,Trans Bathroom Ban,2/21/2023,Senate majority caucus: Do pass,Low,School bathroom ban. ,https://legiscan.com/AZ/bill/SB1040/2023,John Kavanagh,"Hearing 2023-02-15 14:00 SHR 1, Hearing 2023-02-20 13:00 Caucus Room 1","S 2023-01-31 Introduced in Senate and read first time, S 2023-01-31 Assigned to Senate ED Committee, S 2023-01-31 Assigned to Senate RULES Committee, S 2023-02-01 Senate read second time, S 2023-02-15 Senate ED Committee action: Do Pass, voting: (4-2-1-0), S 2023-02-20 Senate RULES Committee action: Proper For Consideration, voting: (4-3-0-0), S 2023-02-20 Senate consent calendar, S 2023-02-20 Senate minority caucus: Do pass, S 2023-02-21 Senate majority caucus: Do pass",Pass Committee,ddc68cd0944c3397e4d2551b529ccecd,,,,,,,,,,,,,,,,,,,,,,,
Arizona,SB1694,Public monies; ideology training; prohibition,DEI Prohibitation,2/15/2023,"Senate GOV Committee action: Do Pass, voting: (5-3-0-0)",Low,,https://legiscan.com/AZ/bill/SB1694/2023,"Jake Hoffman, Sonny Borrelli, Anthony Kern, Justine Wadsack, Justin Heap, Rachel Jones, Cory McGarr","Hearing 2023-02-15 08:00 SHR 2, Hearing 2023-02-16 14:00 SHR 2","S 2023-02-01 Introduced in Senate and read first time, S 2023-02-01 Assigned to Senate GOV Committee, S 2023-02-01 Assigned to Senate RULES Committee, S 2023-02-02 Senate read second time, S 2023-02-15 Senate GOV Committee action: Do Pass, voting: (5-3-0-0)",Pass Committee,78389d7d319faf7eb8570dbea60f8ce9,,,,,,,,,,,,,,,,,,,,,,,
Arizona,SB1698,Unlawful exposure; minors; sentencing; reporting,Drag Ban,2/16/2023,"Senate JUD Committee action: Do Pass, voting: (3-1-3-0)",Low,"5-15 years in prison, added to sex offender registry ",https://legiscan.com/AZ/bill/SB1698/2023,"Justine Wadsack, Rachel Jones, Cory McGarr",Hearing 2023-02-16 08:00 SHR 1,"S 2023-02-02 Introduced in Senate and read first time, S 2023-02-02 Assigned to Senate JUD Committee, S 2023-02-02 Assigned to Senate RULES Committee, S 2023-02-09 Senate read second time, S 2023-02-16 Senate JUD Committee action: Do Pass, voting: (3-1-3-0)",Pass Committee,d1b467e82b5928edad2d043cdae5d1ce,,,,,,,,,,,,,,,,,,,,,,,
