Sponsors,State,Number,Count
Aaron Aylward,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1208'"", ""'HB1080""]",4
Aaron Bean,US,"[""HB734'"", ""'HB5""]",2
Aaron Freeman,Indiana,"[""HB1407'"", ""'SB0480""]",2
Aaron Pilkington,Arkansas,['SB294'],1
Abby Angelos,Wyoming,"[""SF0159'"", ""'SF0133""]",2
Adam Anderson,Florida,"[""H1069'"", ""'H1069'"", ""'H1223""]",3
Adam Bird,Ohio,['HB68'],1
Adam Burkhammer,West Virginia,['HB3097'],1
Adam Holmes,Ohio,['HB68'],1
Adam Mathews,Ohio,['HB6'],1
Adam Morgan,South Carolina,"[""H3728'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
Adrienne Southworth,Kentucky,"[""SB115'"", ""'SB102""]",2
Al Novstrup,South Dakota,"[""HB1116'"", ""'HB1080""]",2
Alan Clark,Arkansas,"[""SB294'"", ""'SB43'"", ""'HB1615""]",3
Alan Martinez,New Mexico,"[""HB490'"", ""'HB492""]",2
Alan Morgan,South Carolina,"[""H3728'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
Albert Sommers,Wyoming,['SF0133'],1
Alessandro Cutrona,Ohio,"[""HB68'"", ""'HB6""]",2
Alex Andrade,Florida,['H0991'],1
Alexander Kolodin,Arizona,['HB2711'],1
Alexander Mooney,US,"[""HB734'"", ""'HB5""]",2
Alicia Lekas,New Hampshire,"[""HB396'"", ""'HB619""]",2
Ally Seifried,Oklahoma,['SB408'],1
Amanda Chase,Virginia,['SB791'],1
Amy Galey,North Carolina,['S49'],1
Amy Neighbors,Kentucky,"[""HB470'"", ""'HB177""]",2
Amy Regier,Montana,['HB303'],1
Andrea Reeb,New Mexico,['HM57'],1
Andrew Chesney,Illinois,['SB1659'],1
Andrew Clyde,US,"[""HR115'"", ""'HB1399""]",2
Andrew Farmer,Tennessee,['HB0239'],1
Andrew Koenig,Missouri,['SB49'],1
Andrew Marschall,North Dakota,"[""HB1332'"", ""'HB1333""]",2
Andrew Murr,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23""]",3
Andrew Ogles,US,"[""HR115'"", ""'HB5""]",2
Andy Biggs,US,"[""HB734'"", ""'HR115'"", ""'HB1399""]",3
Andy Zay,Indiana,['SB0480'],1
