Sponsors,State,Number
Aaron Aylward,South Dakota,"['HB1116', 'HB1125', 'HB1208', 'HB1080']"
Aaron Bean,US,"['HB734', 'HB5']"
Aaron Freeman,Indiana,"['HB1407', 'SB0480']"
Aaron Pilkington,Arkansas,['SB294']
Abby Angelos,Wyoming,"['SF0159', 'SF0133']"
Adam Anderson,Florida,"['H1069', 'H1069', 'H1223']"
Adam Bird,Ohio,['HB68']
Adam Burkhammer,West Virginia,['HB3097']
Adam Holmes,Ohio,['HB68']
Adam Mathews,Ohio,['HB6']
Adam Morgan,South Carolina,"['H3728', 'H3485', 'H3551', 'H3551']"
Adrienne Southworth,Kentucky,"['SB115', 'SB102']"
Al Novstrup,South Dakota,"['HB1116', 'HB1080']"
Alan Clark,Arkansas,"['SB294', 'SB43', 'HB1615']"
Alan Martinez,New Mexico,"['HB490', 'HB492']"
Alan Morgan,South Carolina,"['H3728', 'H3485', 'H3551', 'H3551']"
Albert Sommers,Wyoming,['SF0133']
Alessandro Cutrona,Ohio,"['HB68', 'HB6']"
Alex Andrade,Florida,['H0991']
Alexander Kolodin,Arizona,['HB2711']
Alexander Mooney,US,"['HB734', 'HB5']"
Alicia Lekas,New Hampshire,"['HB396', 'HB619']"
Ally Seifried,Oklahoma,['SB408']
Amanda Chase,Virginia,['SB791']
Amy Galey,North Carolina,['S49']
Amy Neighbors,Kentucky,"['HB470', 'HB177']"
Amy Regier,Montana,['HB303']
Andrea Reeb,New Mexico,['HM57']
Andrew Chesney,Illinois,['SB1659']
Andrew Clyde,US,"['HR115', 'HB1399']"
Andrew Farmer,Tennessee,['HB0239']
Andrew Koenig,Missouri,['SB49']
Andrew Marschall,North Dakota,"['HB1332', 'HB1333']"
Andrew Murr,Texas,"['HB1155', 'HB1686', 'HB23']"
Andrew Ogles,US,"['HR115', 'HB5']"
Andy Biggs,US,"['HB734', 'HR115', 'HB1399']"
Andy Zay,Indiana,['SB0480']
Angela Burks Hill,Mississippi,"['SB2076', 'SB2760', 'SB2763', 'SB2765', 'SB2770', 'SB2773', 'SB2820']"
Angela King,Ohio,"['HB68', 'HB6']"
Angela Paxton,Texas,"['SB14', 'SB15']"
Angela Rigas,Michigan,['HB4257']
Angelia Orr,Texas,"['HB1686', 'HB23', 'HB3164', 'HB888']"
Anita Hall,West Virginia,['HB3176']
Ann Kelley,Missouri,['HB634']
Ann Wagner,US,['HB734']
Anna Luna,US,"['HB734', 'HR115', 'HB1399', 'HB5']"
Anna Novak,North Dakota,"['HB1249', 'HB1489', 'HCR3010', 'SB2260']"
Anna Scharf,Oregon,['SB897']
Anne Donahue,Vermont,['H0183']
Anne Ferrell Tata,Virginia,['HB1387']
Anne Osmundson,Iowa,['HF2']
Anne Thayer,South Carolina,"['H3485', 'H3551', 'H3551']"
Annette Sweeney,Iowa,['SF83']
Anthony Bouchard,Wyoming,"['SF0144', 'SF0172']"
Anthony D'Esposito,US,['HB5']
Anthony Deluca,Rhode Island,['S0487']
Anthony Hartsook,Colorado,['HB1098']
Anthony Kern,Arizona,"['SB1028', 'SB1030', 'SB1694']"
Appropriations,Kansas,['HB2436']
April Cromer,South Carolina,"['H3485', 'H3551', 'H3551', 'H3616']"
April Fleming Miller,Maryland,['HB359']
April Rose,Maryland,['HB359']
Arch Beal,South Dakota,['HB1125']
Art Robinson,Oregon,['SB897']
Arthur Peterson,Vermont,['H0183']
Ashley Hinson,US,['HB5']
Ashley Trantham,South Carolina,"['H3485', 'H3551', 'H3551']"
August Pfluger,US,['HB734']
Austen Schauer,North Dakota,"['SB2199', 'SB2199', 'HB1139']"
Austin Mccollum,Arkansas,['SB294']
Austin Scott,US,['HB734']
Barbara Gleim,Pennsylvania,['HB138']
Barrie Ciliberti,Maryland,['HB359']
Barry Crago,Wyoming,"['HB0187', 'SF0133']"
Barry Moore,US,['HB734']
Bart Hester,Arkansas,"['SB294', 'SB43']"
Bart Williams,Mississippi,['SB2760']
Becky Currie,Mississippi,['HB1127']
Ben Adams,Idaho,['H0071']
Ben Baker,Missouri,['HB494']
Ben Brown,Missouri,"['SB49', 'SB87']"
Ben Bumgarner,Texas,"['HB1155', 'HB1686', 'HB2116', 'HB23', 'HB3164']"
Ben Cline,US,"['HB734', 'HR115', 'HB5']"
Ben Gilmore,Arkansas,"['SB270', 'SB294', 'SB43']"
Ben Hornok,Wyoming,['SF0144']
Ben Koppelman,North Dakota,"['HB1249', 'HB1297', 'HB1333', 'HB1474', 'HB1489']"
Ben Krohmer,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Ben Moss,North Carolina,['H43']
Ben Watson,Georgia,['SB140']
Benjamin Hymes,Maine,['LD678']
Benjamin Suber,Mississippi,['SB2760']
Bennie Cook,Missouri,"['HB1364', 'HB337']"
Benton Sawrey,North Carolina,['S49']
Bernard Willis,Ohio,"['HB68', 'HB6']"
Bernie Perryman,Minnesota,['HF551']
Bernie Satrom,North Dakota,['HB1139']
Berny Jacques,Florida,['H1421']
Beth Lear,Ohio,"['HB68', 'HB6']"
Bethanne McCarthy Patrick,New Jersey,"['A1418', 'A1630']"
Bethany Soye,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Bill Allemand,Wyoming,['SF0111']
Bill Dean,Ohio,['HB68']
Bill Hansell,Oregon,"['SB452', 'SB453']"
Bill Huizenga,US,['HB5']
Bill Kinkade,Mississippi,['HB1125']
Bill Pigott,Mississippi,['HB1127']
Bill Posey,US,"['HB734', 'HB1399', 'HB5']"
Bill Taylor,South Carolina,"['H3728', 'H3197']"
Bill Tveit,North Dakota,"['HB1301', 'SB2199', 'SB2199', 'HB1254', 'HB1333']"
Bill Ward,North Carolina,['H43']
Bill Wiley,Virginia,"['HB1387', 'HB2432']"
Billy Calvert,Mississippi,['HB1127']
Billy Hickman,Georgia,['SB140']
Billy Wesley,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30', 'HB58', 'HB585']"
Blaise Ingoglia,Florida,['S0952']
Blake Doriot,Indiana,"['SB0480', 'SB0413']"
Blake Johnson,Arkansas,"['SB270', 'SB294', 'SB43']"
Blake Stephens,Oklahoma,"['SB129', 'SB613']"
Blake Tillery,Georgia,['SB140']
Bo Watson,Tennessee,['SB0003']
Bob Hall,Texas,"['SB1029', 'SB1082', 'SB1198', 'SB1443', 'SB249', 'SB250', 'SB393', 'SCR3', 'SB14', 'SB15']"
Bob Long,Maryland,['HB359']
Bob Paulson,North Dakota,"['HB1301', 'HB1249', 'HB1473', 'HB1489', 'SB2260']"
Bob Phalen,Montana,['HB234']
Bobby Cox,South Carolina,"['H3728', 'H3485', 'H3551', 'H3551']"
Bobby Hanig,North Carolina,['S49']
Bobby Kaufmann,Iowa,['HF2']
Bobby Levy,Oregon,['SB897']
Bobby McCool,Kentucky,"['HB470', 'HB177', 'HB30']"
Boomer Wright,Oregon,"['HB2186', 'SB897']"
Brad Boles,Oklahoma,['HB1947']
Brad Buckley,Texas,"['HB1686', 'HB23']"
Brad Finstad,US,"['HB734', 'HB5']"
Brad Hudson,Missouri,"['HB419', 'HB1157', 'HB137']"
Brad Overcash,North Carolina,['S49']
Brad Wenstrup,US,"['HB734', 'HB5']"
Brad Zaun,Iowa,['SF83']
Brady Brammer,Utah,['SB0093']
Brady Williamson,Mississippi,"['HB1127', 'HB456', 'HB576', 'HB1125']"
Brandei Schaefbauer,South Dakota,"['HB1116', 'HB1080']"
Brandi Bradley,Colorado,['HB1098']
Brandon Achor,Arkansas,['SB294']
Brandon Beach,Georgia,"['SB140', 'SB88']"
Brandon Cox,South Carolina,['H3197']
Brandon Guffey,South Carolina,['H3485']
Brandon Ler,Montana,['HB361']
Brandon Mitchell,Idaho,['H0071']
Brandon Newton,South Carolina,['H3485']
Brandon Prichard,North Dakota,"['HB1301', 'HB1332', 'HB1526', 'HB1254', 'HB1297', 'HB1333', 'HB1473', 'HB1474']"
Brandon Reed,Kentucky,"['HB470', 'HB177', 'HB30']"
Brandon Steele,West Virginia,"['HB2125', 'HB3097']"
Brandon Storm,Kentucky,['SB150']
Brandon Williams,US,['HB5']
Braxton Mitchell,Montana,['HB359']
Breanne Davis,Arkansas,['SB294']
Brent Crane,Idaho,['H0071']
Brent Hoffman,South Dakota,"['HB1116', 'HB1125', 'HB1080']"
Brent Taylor,Tennessee,"['SB0001', 'SB0003']"
Brenton Awa,Hawaii,"['SB1428', 'SB1429']"
Brett Guthrie,US,['HB5']
Brian Adams,South Carolina,"['S0234', 'S0243', 'S0424']"
Brian Babin,US,"['HB1276', 'HB1399', 'HB5']"
Brian Birdwell,Texas,"['SB14', 'SB15']"
Brian Buchanan,Indiana,['SB0480']
Brian Chisholm,Maryland,['HB359']
Brian Evans,Arkansas,['SB294']
Brian Harrison,Texas,"['HB1029', 'HB1686', 'HB23', 'HB3164', 'HB776', 'HB3902']"
Brian Lampton,Ohio,['HB68']
Brian Lawson,South Carolina,"['H3485', 'H3551', 'H3551']"
Brian Mast,US,['HB429']
Brian Mulder,South Dakota,['HB1116']
Brian Seitz,Missouri,['HB170']
Brian Stewart,Ohio,"['HB68', 'HB6']"
Brian Strickland,Georgia,['SB140']
Briscoe Cain,Texas,"['HB1155', 'HB1686', 'HB1752', 'HB23', 'HB3164', 'HB631', 'HB888']"
Brit McKenzie,Arkansas,['SB294']
Brock Martin,Tennessee,['HB0001']
Brooke Boden,Iowa,['HF2']
Brooks Landgraf,Texas,"['HB1686', 'HB23']"
Bruce Bannister,South Carolina,['H3728']
Bruce Borders,Indiana,['HB1525']
Bruce Cozart,Arkansas,['SB294']
Bruce Westerman,US,['HB734']
Bryan Hughes,Texas,"['SB476', 'SB1690', 'SB14', 'SB15']"
Bryan Richey,Tennessee,"['HB0001', 'HB0009', 'HB0030', 'HB0878']"
Bryan Slaton,Texas,"['HB1686', 'HB23', 'HB42', 'HB4129']"
Bryan Steil,US,['HB5']
Bryce Reeves,Virginia,"['SB1186', 'SB1203', 'SB960', 'SB962']"
Buck Newton,North Carolina,['S49']
Bud Hulsey,Tennessee,"['HB0001', 'HB0878']"
Burgess Owens,US,"['HB734', 'HR115', 'HB5']"
Byron Callies,South Dakota,['HB1080']
Byron Pelton,Colorado,['HB1098']
Caleb Hanna,West Virginia,"['HB2923', 'HB3503']"
Cally Forrest,South Carolina,['H3485']
Cameron Cooper,Arkansas,"['SB294', 'SB43', 'HB1615']"
Cameron Sexton,Tennessee,"['HB0001', 'HB1215']"
Candy Massaroni,Kentucky,"['HB470', 'HB173', 'HB177', 'HB30']"
Candy Noble,Texas,"['HB1155', 'HB1686', 'HB23', 'HB3164', 'HB888']"
Carden Summers,Georgia,"['SB140', 'SB141', 'SB88']"
Carl Ford,North Carolina,['S49']
Carl Glimm,Montana,"['SB413', 'SB458']"
