Steve Toth,Texas,15
Shane Jett,Oklahoma,13
Terri Leo-Wilson,Texas,12
Bob Hall,Texas,11
Briscoe Cain,Texas,11
Jared Patterson,Texas,10
David Spiller,Texas,9
Lori VanWinkle,North Dakota,9
Matthew Leber,South Carolina,8
Terry Wilson,Texas,8
Brandon Prichard,North Dakota,8
James Burns,South Carolina,8
Vicky Steiner,North Dakota,7
Stewart Jones,South Carolina,7
Charles Perry,Texas,7
Jill Carter,Missouri,7
Thomas Beach,South Carolina,7
Nate Schatzline,Texas,7
George Burns,Oklahoma,7
Cole Hefner,Texas,7
Kip Capley,Tennessee,7
Joseph Hensley,Tennessee,7
Richard Hayes,Texas,7
Valoree Swanson,Texas,7
David Bullard,Oklahoma,7
Angela Burks Hill,Mississippi,7
Charles Anderson,Texas,6
Doug Gilliam,South Carolina,6
Rob Harris,South Carolina,6
Warren Hamilton,Oklahoma,6
Roy Magnuson,South Carolina,6
Ellen Troxclair,Texas,6
William Metcalf,Texas,6
Donna Campbell,Texas,6
Marco Rubio,US,6
Billy Wesley,Kentucky,6
Tan Parker,Texas,6
Mary Miller,US,6
Jim Banks,US,6
Danny Verdin,South Carolina,6
Chris Todd,Tennessee,6
Cindy Crawford,Arkansas,6
Brian Harrison,Texas,6
Jordan Pace,South Carolina,6
Mary Bentley,Arkansas,6
Shelby Slawson,Texas,5
Ryan Dotson,Kentucky,5
Rusty Grills,Tennessee,5
Jody Barrett,Tennessee,5
David Clemens,North Dakota,5
Keith Boehm,North Dakota,5
Carrie Isaac,Texas,5
Angelia Orr,Texas,5
Gino Bulso,Tennessee,5
Ben Bumgarner,Texas,5
Marvin Smith,South Carolina,5
Ed Butler,Tennessee,5
Rob Standridge,Oklahoma,5
Debbie Lesko,US,5
Carl Perry,South Dakota,5
Randy Weber,US,5
Mark Maynard,West Virginia,5
Ben Koppelman,North Dakota,5
Jeff Leach,Texas,5
Ralph Hise,North Carolina,5
Benton Sawrey,North Carolina,5
Mark Jennings,Wyoming,5
Greg Steube,US,5
Sandy Salmon,Iowa,5
Justine Wadsack,Arizona,5
Rachel Jones,Arizona,5
Lois Kolkhorst,Texas,5
Ralph Norman,US,5
SuAnn Olson,North Dakota,5
Bill Tveit,North Dakota,5
Jeff Duncan,US,5
Mark Dorazio,Texas,5
John Ragan,Tennessee,5
Tom Pischke,South Dakota,5
Steve Rawlings,Kentucky,5
Julie Frye-Mueller,South Dakota,5
Bob Paulson,North Dakota,5
Matthew Shaheen,Texas,5
Chris Pritt,West Virginia,5
Jake McCalmon,Tennessee,5
Joyce Krawiec,North Carolina,5
Phil Jensen,South Dakota,5
Patrick Haddon,South Carolina,5
Rick Brattin,Missouri,5
Cory McGarr,Arizona,5
Candy Noble,Texas,5
Geno Chiarelli,West Virginia,5
Marianne Proctor,Kentucky,5
John Hodgson,Kentucky,5
Robin Lundstrum,Arkansas,5
Stacey Donato,Indiana,5
John Mccravy,South Carolina,5
Doug LaMalfa,US,5
Nancy Tate,Kentucky,5
Monty Fritts,Tennessee,5
Norman Sanderson,North Carolina,5
Josh Calloway,Kentucky,5
Buck Newton,North Carolina,5
Vickie Sawyer,North Carolina,4
Warren Daniel,North Carolina,4
Tony Luetkemeyer,Missouri,4
Kathy Chism,Mississippi,4
Kathy Landing,South Carolina,4
Anna Luna,US,4
Karen Rohr,North Dakota,4
Mark Willis,South Carolina,4
Tony Tinderholt,Texas,4
Matt Schaefer,Texas,4
April Cromer,South Carolina,4
Bobby Hanig,North Carolina,4
Mark Cochran,Tennessee,4
Julie Daniels,Oklahoma,4
John Stevens,Tennessee,4
William Chumley,South Carolina,4
Michael Lazzara,North Carolina,4
Tim Rudd,Tennessee,4
Brady Williamson,Mississippi,4
Todd Johnson,North Carolina,4
Melissa Oremus,South Carolina,4
Todd Kirby,West Virginia,4
Joshua Kimbrell,South Carolina,4
Brad Overcash,North Carolina,4
Todd Warner,Tennessee,4
Walker Thomas,Kentucky,4
Mark Pody,Tennessee,4
Bryce Reeves,Virginia,4
Tom Oliverson,Texas,4
Lauren Boebert,US,4
Mayes Middleton,Texas,4
Carl Tepper,Texas,4
John Sjaarda,South Dakota,4
Thomas McInnis,North Carolina,4
William Slater,Tennessee,4
Ted Cruz,US,4
Susan Lynn,Tennessee,4
Candy Massaroni,Kentucky,4
Bryan Hughes,Texas,4
Sylleste Davis,South Carolina,4
Mike Azinger,West Virginia,4
Bryan Slaton,Texas,4
Anna Novak,North Dakota,4
Carl Ford,North Carolina,4
Lacey Hull,Texas,4
John Lujan,Texas,4
Adam Morgan,South Carolina,4
Alan Morgan,South Carolina,4
Lynn Hutchings,Wyoming,4
Bryan Richey,Tennessee,4
Michelle Davis,Indiana,4
Troy McKeown,Wyoming,4
William Eigel,Missouri,4
Bobby Cox,South Carolina,4
Judy Estenson,North Dakota,4
Shawn Vedaa,North Dakota,4
Wayne Long,Arkansas,4
David O'Neal,South Carolina,4
David Cook,Texas,4
Gary Gates,Texas,4
Rachel Plakon,Florida,4
Scott Cepicky,Tennessee,4
Scott Dyk,North Dakota,4
Reggie Smith,Texas,4
Harriet Hageman,US,4
Gary Byrne,Indiana,4
Pepper Ottman,Wyoming,4
Paul Sherrell,Tennessee,4
Jeff Raatz,Indiana,4
Gary Stubblefield,Arkansas,4
Elizabeth May,South Dakota,4
Mike Moon,Missouri,4
Steven Long,South Carolina,4
Chris McDaniel,Mississippi,4
Jennifer Henson Decker,Kentucky,4
Charles Creighton,Texas,4
Mindy McAlindon,Arkansas,4
Chris Fugate,Kentucky,4
Doug Lamborn,US,4
Jill Ford,Mississippi,4
Nathan Dahm,Oklahoma,4
Edward Durr,New Jersey,4
Brian Adams,South Carolina,4
David Hale,Kentucky,4
Christine Goodwin,Oregon,4
Ryan Rose,Arkansas,4
Rodney Montoya,New Mexico,4
Timothy Moffitt,North Carolina,4
Debra Moody,Tennessee,4
Jim Perry,North Carolina,4
Aaron Aylward,South Dakota,4
Denny Hoskins,Missouri,4
Jake Teshka,Indiana,4
Janince Bowling,Tennessee,4
Diana Harshbarger,US,4
Cody Vasut,Texas,4
Janne Myrdal,North Dakota,4
Roger Nutt,South Carolina,4
Shane Baker,Kentucky,4
Cody Rogers,Oklahoma,4
Paul Newton,North Carolina,4
Cody Harris,Texas,4
Dennis Powers,Tennessee,4
Dean Black,Florida,4
Jay Kilmartin,South Carolina,4
Dan Howell,Tennessee,4
Randy Fine,Florida,4
Jason Zachary,Tennessee,4
Stan Kitzman,Texas,4
Stan Gerdes,Texas,4
Ted Alexander,North Carolina,3
Scott Sharp,Kentucky,3
Ben Cline,US,3
Scott Odenbach,South Dakota,3
Scott Moore,South Dakota,3
Austen Schauer,North Dakota,3
Scott Heiner,Wyoming,3
Ashley Trantham,South Carolina,3
Virginia Foxx,US,3
Clint Dixon,Georgia,3
Anthony Kern,Arizona,3
Savannah Maddox,Kentucky,3
Stacey Hobgood-Wilkes,Mississippi,3
Anne Thayer,South Carolina,3
