key	value
4:09:50 pm	135
2/7/2023 4:15 pm	23
2/21/2023 2:08 pm	21
hours	13
2/21/2023 2:08 pm jacketed	12
2:33 pm jacketed	11
3:29 pm jacketed	11
2/10/2023 8:17	10
10:43:03	9
overnight	8
3:30 pm jacketed	5
3:30 pm	4
24) hours	3
2/7/2023 4:15 pm jacketed	3
2:42 pm jacketed	3
minutes	3
12/9/2022 12:25	2
12:54 pm	2
1:42:57 pm	2
12:01 a.m.	2
hourly	2
hours 1:00 a.m.	2
8:00 a.m.	2
saturday hours 1:00 a.m.	2
12:00 noon	2
12:03:56	1
12/9/2022 12:25 pm	1
1/19/2023 10:13:01	1
2/7/2023 4:15 pm jacketed 3	1
2/21/2023 2:08 pm jacketed 3	1
7:23:10 pm	1
7:26:21 pm	1
7:25:18 pm	1
1/10/2023 12:49:01	1
11:25:39	1
1/17/2023 7:46:57 pm	1
42 classroom hours	1
2/10/2023 8:17 jacketed	1
1/13/2023 3:34:06	1
10:01:39	1
2:42 pm jacketed 5	1
1/19/2023 12:16:22	1
2:33 pm jacketed act	1
forty-hour	1
sixteen-hour	1
12) hours	1
6 hours	1
20) hours	1
10 (h	1
number hours	1
36 sb294	1
1/24/2023 2:01:06	1
36 hours	1
1/18/2023 7:24:14 pm	1
3:29 pm jacketed act	1
3:29 pm jacketed eighteen	1
3:29 pm jacketed section 5	1
3:29 pm jacketed 278	1
3:29 pm jacketed united states america	1
3:29 pm jacketed 6	1
11:54:09	1
12:52:09 pm	1
59 school hours	1
30 school hours	1
12:51:07 pm	1
48 hours	1
24 hours	1
1)(d	1
16 (h	1
2022 07:30 pm	1
2023 11:11	1
2023 02:49	1
2023 12:47 pm	1
2023 02:50 pm	1
twenty-four hours day	1
seventy-two hours	1
16.	1
nights	1
later forty-eight hours	1
11-00444d-23	1
2022 05:30 pm	1
2022 02:32 pm	1
2023 11:09	1
2023 10:56	1
2023 03:52	1
2023 12:55 pm	1
